OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,ZipCode,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),DefaultData,ComplianceStatus,Outlier,TotalGHGEmissions,GHGEmissionsIntensity
26176,2016,Multifamily MR (5-9),Mid-Rise Multifamily,98103.0,6,NORTHWEST,47.68704,-122.33998,2009,1.0,5,35843,0,35843,"Multifamily Housing, Office, Parking, Retail Store",Multifamily Housing,19831.0,Parking,11616.0,Retail Store,3000.0,,32.20000076,34.0,98.30000305,103.5999985,779503.625,823087.125,0.0,False,Compliant,,6.9,0.19
26177,2016,Multifamily LR (1-4),Low-Rise Multifamily,98115.0,4,NORTHEAST,47.67447,-122.26389,1981,1.0,3,47419,0,47419,Multifamily Housing,Multifamily Housing,47419.0,,,,,75.0,25.70000076,27.89999962,80.59999847,87.59999847,1216545.75,1322969.25,0.0,False,Compliant,,8.48,0.18
26182,2016,Multifamily MR (5-9),Mid-Rise Multifamily,98109.0,7,LAKE UNION,47.62235,-122.33074,2013,3.0,7,88450,0,88450,"Multifamily Housing, Parking",Multifamily Housing,225337.0,Parking,102474.0,,,98.0,29.20000076,30.39999962,84.09999847,87.80000305,6582088.5,6847580.5,0.0,False,Compliant,,84.01,0.95
26183,2016,NonResidential,Small- and Mid-Sized Office,98109.0,7,LAKE UNION,47.62298,-122.33082,1912,1.0,2,27788,0,27788,"Office, Other - Restaurant/Bar",Office,32610.0,Other - Restaurant/Bar,4874.0,,,73.0,56.59999847,56.79999924,151.8999939,152.1999969,2119806.25,2127889.25,0.0,False,Compliant,,35.99,1.3
26243,2016,Multifamily LR (1-4),Low-Rise Multifamily,98125.0,5,North,47.71122,-122.32766,1979,1.0,3,102298,0,102298,Multifamily Housing,Multifamily Housing,88248.0,,,,,61.0,29.70000076,31.39999962,89.59999847,95.90000153,2616816.75,2774815.0,0.0,False,Compliant,,25.11,0.25
26188,2016,Multifamily MR (5-9),Mid-Rise Multifamily,98109.0,7,LAKE UNION,47.62025,-122.33129,2006,2.0,6,524720,0,524720,"Multifamily Housing, Retail Store",Multifamily Housing,147417.0,Retail Store,5108.0,,,94.0,42.0,43.70000076,75.19999695,79.40000153,6411570.5,6658833.0,0.0,False,Compliant,,160.79,0.31
26190,2016,Multifamily LR (1-4),Low-Rise Multifamily,98102.0,3,EAST,47.62182,-122.32028,1928,1.0,4,43096,0,43096,Multifamily Housing,Multifamily Housing,43098.0,,,,,76.0,59.5,66.19999695,82.09999847,89.19999695,2563933.25,2852614.0,0.0,False,Compliant,,117.47,2.73
26195,2016,Multifamily LR (1-4),Low-Rise Multifamily,98102.0,3,EAST,47.62215,-122.32023,1914,1.0,4,23242,0,23242,Multifamily Housing,Multifamily Housing,23242.0,,,,,63.0,29.5,31.29999924,92.80000305,98.40000153,686789.875,728633.375,0.0,False,Compliant,,4.79,0.21
26198,2016,Multifamily MR (5-9),Mid-Rise Multifamily,98102.0,3,EAST,47.62459,-122.32175,1968,1.0,8,49256,0,49256,Multifamily Housing,Multifamily Housing,49256.0,,,,,96.0,36.0,39.29999924,84.19999695,93.69999695,1775372.25,1937882.375,0.0,False,Compliant,,43.9,0.89
26204,2016,Multifamily LR (1-4),Low-Rise Multifamily,98102.0,3,EAST,47.62165,-122.32247,1906,1.0,3,33736,0,33736,Multifamily Housing,Multifamily Housing,33736.0,,,,,82.0,35.20000076,35.5,87.59999847,87.90000153,1187540.25,1197072.5,0.0,False,Compliant,,25.37,0.75
26210,2016,Multifamily LR (1-4),Low-Rise Multifamily,98102.0,3,EAST,47.62408,-122.32231,1965,1.0,4,30240,0,30240,"Multifamily Housing, Parking",Multifamily Housing,27656.0,Parking,0.0,,,75.0,23.79999924,25.5,74.80000305,80.09999847,659176.1875,705502.1875,0.0,False,Compliant,,4.6,0.15
26211,2016,Multifamily LR (1-4),Low-Rise Multifamily,98102.0,3,EAST,47.62333,-122.32228,1926,1.0,3,25958,0,25958,Multifamily Housing,Multifamily Housing,25958.0,,,,,90.0,28.79999924,30.89999962,63.90000153,69.59999847,748335.3125,802123.875,0.0,False,Compliant,,20.5,0.79
26217,2016,Multifamily LR (1-4),Low-Rise Multifamily,98103.0,4,LAKE UNION,47.64779,-122.33352,1993,1.0,4,55372,0,55372,Multifamily Housing,Multifamily Housing,55362.0,,,,,79.0,41.5,45.5,69.40000153,73.59999847,2298815.75,2520389.25,0.0,False,Compliant,,90.53,1.63
26218,2016,NonResidential,Hotel,98133.0,5,NORTHWEST,47.729,-122.34473,1990,1.0,4,41704,8584,33120,Hotel,Hotel,41704.0,,,,,73.0,46.59999847,47.29999924,97.5,99.80000305,1943899.25,1974631.125,0.0,False,Compliant,,58.52,1.4
26227,2016,Multifamily LR (1-4),Low-Rise Multifamily,98119.0,7,MAGNOLIA / QUEEN ANNE,47.62948,-122.36881,1930,1.0,3,25380,0,25380,Multifamily Housing,Multifamily Housing,25380.0,,,,,66.0,50.09999847,56.20000076,69.09999847,75.5,1270582.125,1426570.0,0.0,False,Compliant,,58.24,2.29
26232,2016,Multifamily LR (1-4),Low-Rise Multifamily,98119.0,7,MAGNOLIA / QUEEN ANNE,47.65383,-122.3706,1965,1.0,3,39967,0,39967,"Multifamily Housing, Parking",Multifamily Housing,37139.0,Parking,0.0,,,52.0,27.89999962,29.89999962,87.69999695,93.90000153,1037555.125,1110225.375,0.0,False,Compliant,,7.23,0.18
