OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,ZipCode,CouncilDistrictCode,Neighborhood,Latitude,Longitude,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),DefaultData,ComplianceStatus,Outlier,BuildingAge,ParkingRatio,BuildingAreaRatio,EnergyUsePerArea,ElectricityIntensity,LargestUseRatio,GHGPerArea,LatitudeBand
24705,2016,NonResidential,Warehouse,98101.0,2,GREATER DUWAMISH,47.58903,-122.33361,1.0,2,40800,0,40800,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,Office,4800.0,,,,20.0,22.79999924,38.29999924,41.20000076,817255.875,929876.625,0.0,False,Compliant,,88,0.0,1.0,20.03078125,20.03078125,0.8823529411764706,0.0006821078431372548,47.6
24708,2016,NonResidential,Small- and Mid-Sized Office,98134.0,2,GREATER DUWAMISH,47.59508,-122.33378,1.0,2,20150,0,20150,Office,Office,,,,,80.0,28.60000038,29.39999962,89.80000305,92.30000305,576174.125,592196.6875,0.0,False,Compliant,,96,0.0,1.0,28.594249379652606,28.594249379652606,1.0,0.00019950372208436722,47.6
24712,2016,NonResidential,Small- and Mid-Sized Office,98104.0,2,DOWNTOWN,47.59639,-122.33368,1.0,7,36000,0,36000,Office,Office,,,,,40.0,53.40000153,53.40000153,167.6999969,167.6999969,1682454.875,1682454.875,0.0,False,Compliant,,107,0.0,1.0,46.73485763888889,46.73485763888889,0.875,0.00032583333333333336,47.6
24714,2016,NonResidential,Warehouse,98111.0,2,GREATER DUWAMISH,47.59081,-122.33487,1.0,2,41276,0,41276,"Non-Refrigerated Warehouse, Office, Retail Store",Non-Refrigerated Warehouse,Retail Store,13284.0,Office,3692.0,,60.59999847,69.80000305,103.4000015,113.9000015,2502081.0,2880753.0,0.0,False,Compliant,,78,0.0,1.0,60.618301191975966,60.618301191975966,0.5887198371935265,0.0023408275995736023,47.6
24716,2016,NonResidential,Refrigerated Warehouse,98134.0,2,GREATER DUWAMISH,47.58999,-122.33539,0.0,2,24430,0,24430,"Other, Refrigerated Warehouse",Refrigerated Warehouse,Other,8690.0,,,,50.59999847,53.29999924,131.0,133.8000031,1232822.875,1297406.125,0.0,False,Compliant,,79,0.0,1.0,50.46348239869013,50.46348239869013,0.641301678264429,0.0009668440442079411,47.6
24717,2016,NonResidential,Other,98134.0,2,GREATER DUWAMISH,47.58788,-122.33458,1.0,3,27690,0,27690,"Other, Parking",Other,Parking,0.0,,,,0.699999988,0.699999988,2.099999905,2.200000048,16808.90039,17260.0,0.0,False,Non-Compliant,Low outlier,106,0.0,1.0,0.6070386561935717,0.6070386561935717,0.8926327193932828,4.3336944745395445e-06,47.6
24720,2016,NonResidential,Small- and Mid-Sized Office,98134.0,2,GREATER DUWAMISH,47.58686,-122.33469,1.0,1,22580,0,22580,Office,Office,,,,,90.0,41.09999847,41.5,122.8000031,122.0,928584.875,937950.625,0.0,False,Compliant,,89,0.0,1.0,41.12421944198406,41.12421944198406,1.0,0.00042736935341009745,47.6
24722,2016,Multifamily LR (1-4),Low-Rise Multifamily,98136.0,1,SOUTHWEST,47.54635,-122.38691,1.0,4,54871,0,54871,"Multifamily Housing, Parking",Multifamily Housing,Parking,0.0,,,63.0,30.5,31.60000038,95.69999695,99.19999695,1418915.875,1471014.125,0.0,False,Compliant,,29,0.0,1.0,25.85912184942866,25.85912184942866,0.8485356563576388,0.00018024092872373387,47.5
24725,2016,NonResidential,Warehouse,98122.0,3,CENTRAL,47.60192,-122.31641,1.0,1,20000,0,20000,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,,,,,18.0,37.20000076,43.90000153,52.5,59.59999847,743528.125,877874.875,0.0,False,Compliant,,90,0.0,1.0,37.17640625,37.17640625,1.0,0.0016760000000000002,47.6
24726,2016,NonResidential,Warehouse,98122.0,3,CENTRAL,47.60224,-122.31529,1.0,1,42000,0,42000,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,Office,4000.0,,,,49.29999924,54.70000076,81.80000305,87.0,2070005.625,2298245.25,0.0,False,Compliant,,62,0.0,1.0,49.285848214285714,49.285848214285714,0.9047619047619048,0.0019540476190476187,47.6
24741,2016,Multifamily LR (1-4),Low-Rise Multifamily,98122.0,3,EAST,47.61833,-122.31111,1.0,4,22553,0,22553,Multifamily Housing,Multifamily Housing,,,,,52.0,33.09999847,37.79999924,104.0,118.5999985,746858.1875,851752.0,0.0,False,Compliant,,88,0.0,1.0,33.11569137143617,33.11569137143617,1.0,0.0002310113953797721,47.6
24743,2016,Multifamily LR (1-4),Low-Rise Multifamily,98122.0,3,EAST,47.61785,-122.31068,1.0,3,27504,0,27504,Multifamily Housing,Multifamily Housing,,,,,89.0,40.20000076,44.29999924,59.20000076,63.5,1104367.625,1217578.875,0.0,False,Compliant,,107,0.0,1.0,40.152982293484584,40.152982293484584,1.0,0.0017561082024432808,47.6
24746,2016,Multifamily LR (1-4),Senior Care Community,98122.0,3,Central,47.61806,-122.30984,1.0,4,63998,0,63998,"Parking, Senior Care Community",Senior Care Community,Parking,0.0,,,56.0,64.90000153,67.69999695,125.0,127.5999985,3896148.0,4060441.0,0.0,False,Compliant,,28,0.0,1.0,60.87921497546798,60.87921497546798,0.9375292977905559,0.0020577205537673053,47.6
24750,2016,Multifamily LR (1-4),Low-Rise Multifamily,98122.0,3,Central,47.61867,-122.30907,1.0,3,24084,0,24084,Multifamily Housing,Multifamily Housing,,,,,62.0,39.40000153,42.70000076,95.5,104.8000031,710825.1875,770477.1875,0.0,False,Compliant,,96,0.0,1.0,29.51441569091513,29.51441569091513,0.75,0.000670984886231523,47.6
24752,2016,Multifamily MR (5-9),Mid-Rise Multifamily,98122.0,3,CENTRAL,47.61799,-122.3032,1.0,6,439604,156997,282607,"Multifamily Housing, Other",Multifamily Housing,Other,53952.0,,,99.0,35.59999847,36.59999847,54.0,55.40000153,8555790.0,8803657.0,0.0,False,Compliant,,12,0.35713278314119073,0.6428672168588093,19.462493516892476,19.462493516892476,0.42451388067442514,0.0004053875760912094,47.6
24758,2016,NonResidential,Self-Storage Facility,98122.0,3,CENTRAL,47.61234,-122.31628,1.0,1,24248,0,24248,"Parking, Self-Storage Facility",Self-Storage Facility,Parking,3230.0,,,,5.300000191,5.699999809,16.70000076,18.0,111969.7031,120610.5,0.0,False,Compliant,,54,0.0,1.0,4.617688184592543,4.617688184592543,0.866793137578357,3.258000659848235e-05,47.6
